user,revenue,units,ls_date,tsls,rating,ttp,total_sessions,completed,completed_post,predictedByModel,win_rate,tries,device,tbs,tsad
3567,NULL,NULL,5/26/2015,90252,-1,548,3,0.155555556,0.155555556,0.155555556,0.25,4,ipod,46193,182922
6562,NULL,NULL,5/26/2015,162217,-1,656,3,0.222222222,0.266666667,0.266666667,0.333333333,6,iphone,44790,162896
6233,NULL,NULL,NULL,NULL,0,0,1,0.222222222,0.222222222,0.222222222,1,3,ipad,NULL,81136
7004,NULL,NULL,5/26/2015,170643,0,1340,4,0.177777778,0.177777778,0.177777778,0.272727273,11,iphone,861.3333333,173408
1450,NULL,NULL,5/27/2015,3524,0,4170,2,0.333333333,0.666666667,0.666666667,1,7,ipad,34807,39989
5592,NULL,NULL,5/27/2015,35612,0,2563,4,0.444444444,0.444444444,0.444444444,0.45,20,iphone,57243,207761
711,NULL,NULL,5/26/2015,133739,0,775,2,0.222222222,0.222222222,0.222222222,0.75,4,iphone,41,134553
293,NULL,NULL,5/27/2015,2418,1,1684,5,0.222222222,0.222222222,0.222222222,0.8,5,ipad,8504.75,36441
7545,NULL,NULL,NULL,NULL,0,0,1,0.222222222,0.222222222,0.222222222,0.75,4,iphone,NULL,81007
7884,NULL,NULL,NULL,NULL,0,0,1,0.222222222,0.222222222,0.222222222,0.5,6,ipad,NULL,153839
2927,NULL,NULL,5/26/2015,114643,0,449,2,0.222222222,0.222222222,0.222222222,1,4,ipad,70361,115093
5153,NULL,NULL,5/27/2015,7548,0,3664,6,0.4,0.4,0.427025579,0.441176471,34,iphone,21461.8,115428
461,NULL,NULL,5/27/2015,24276,0,10438,5,0.666666667,0.933333333,0.500531412,0.526315789,38,ipad,11846.75,72606
7390,NULL,NULL,5/27/2015,15678,0,12974,15,0.666666667,0.666666667,0.624462463,0.385714286,70,iphone,5989.142857,100239
8044,NULL,NULL,5/27/2015,25496,-1,82,3,0.133333333,0.133333333,0.133333333,1,1,iphone,29404,84198
5559,NULL,NULL,5/27/2015,80377,0,313,2,0.155555556,0.155555556,0.155555556,0.5,4,ipod,7740,88253
8465,NULL,NULL,5/26/2015,105717,0,357,1,0.177777778,0.222222222,0.222222222,0.5,4,ipad,NULL,106075
6187,NULL,NULL,5/26/2015,140030,-1,65,3,0.133333333,0.133333333,0.133333333,NULL,NULL,ipad,60,140127
420,NULL,NULL,NULL,NULL,-1,0,1,0.133333333,0.133333333,0.133333333,NULL,NULL,iphone,NULL,15434
6398,NULL,NULL,5/26/2015,92533,0,2731,2,0.222222222,0.444444444,0.444444444,0.444444444,9,ipad,181,94037
225,NULL,NULL,5/26/2015,97434,-1,186,1,0.155555556,0.222222222,0.222222222,1,2,iphone,NULL,97621
7535,NULL,NULL,NULL,NULL,0,0,2,0.2,0.2,0.2,0.75,4,iphone,220,59322
470,NULL,NULL,5/26/2015,168498,0,2502,4,0.444444444,0.444444444,0.444444444,0.65,20,iphone,3316,178842
3639,NULL,NULL,5/26/2015,128048,0,504,2,0.177777778,0.177777778,0.177777778,0.285714286,7,iphone,8362,128553
343,NULL,NULL,5/27/2015,6647,0,589,2,0.266666667,0.666666667,0.666666667,0.625,8,iphone,6731,7237
7614,NULL,NULL,5/25/2015,185437,0,3146,4,0.444444444,0.444444444,0.444444444,0.75,12,ipod,23961.33333,245571
6598,NULL,NULL,NULL,NULL,-1,0,1,0.133333333,0.133333333,0.133333333,1,1,iphone,NULL,179598
7172,NULL,NULL,5/27/2015,29134,-1,783,4,0.177777778,0.222222222,0.222222222,0.4,10,ipad,3739,40429
2212,NULL,NULL,5/27/2015,84756,0,322,1,0.177777778,0.177777778,0.177777778,1,3,iphone,NULL,85079
